Conference;Year;Author1;Author2;Author3;Author4;Author5;Author6;Author7;Author8;Author9;Author10;Author11;Author12;Author13;Author14;Author15;Title;specifier1;qualifier1;field1;Type1;Proprietary1;Specifier2;Qualifier2;Field2;Type2;Proprietary2;Specifier3;Qualifier3;Field3;Type3;Proprietary3;Specifier4;Qualifier4;Field4;Type4;Proprietary4;Specifier5;Qualifier5;Field5;Type5;Proprietary5;Specifier6;Qualifier6;Field6;Type6;Proprietary6;Specifier7;Qualifier7;Field7;Type7;Proprietary7;ArtifactEvaluation;ArtifactwasAvailable;Artifactisavailable;
ECRTS;2017;Morteza Mohaqeqi;Jakaria Abdullah;pontus Ekberg;Wang Yi;;;;;;;;;;;;Refinement of workload Models for Engine Controlles by State Space Partitioning;;referenced;engine control;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Prachi Joshi;Haibo Zeng;Unmesh D. Bordoloi;Soheil Samii;S. S. Ravi;Sandeep K. Shukla;;;;;;;;;;The Multi-Domain Frame Packing Problems for CAN-FD;rwabff;named;automotive;specification;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Daniel Casini;Alessandro Biondi;Giorgio Buttazzo;;;;;;;;;;;;;Semi-Partitioned Scheduling of Dynamic Real-Time Workload: A Practical Approach Based on Analysis-Driven Load Balancing;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;FALSE;FALSE;
ECRTS;2017;Viet Anh Nguyen;Damien Hardy;Isabelle Puaut;;;;;;;;;;;;;Cache-Concious Offline Real-Time Task Scheduling for Multi-Core Processors;streamit;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Zheng Dong;Cong Liu;Alan Gatherer;Lee McFearin;Peter Yan;James H. Anderson;;;;;;;;;;Optimal Dataflow Scheduling on a Heterogeneous Multiprocessor With Reduced Response Time Bounds;;custom;;taskset generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Carles Hernandez;Jaume Abella;Francisco Cazorla;Alen Bardizbanyan;Jan Andersson;Fabrice Cros;Franck Wartel;;;;;;;;;Design and Implementation of a Time Predictable Processor: Evaluation With a Space Case Study;;custom;;microbenchmark;;airbus;;aerospace;case study;yes;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Zain A. H. Hammadeh;Sophie Quinton;Marco Panunzio;Rafik Henia;Laurent Rioux;Rolf Ernst;;;;;;;;;;Budgeting Under-Specified Tasks for Weakly-Hard Real-Time Systems;uunifast;named;;taskset generator;no;;custom;misc;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;FALSE;FALSE;
ECRTS;2017;Muhammad Ali Awan;Konstantinos Bletsas;Perdo F. Souto;Benny Akesson;Eduardo Tovar;;;;;;;;;;;Mixed-Criticality Scheduling With Dynamic Redistribution of Shared Cache;uunifast-discard;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;FALSE;FALSE;
ECRTS;2017;Risat Mahmud Pathan;;;;;;;;;;;;;;;Improving the Quality-of-Service for Scheduling Mixed-Criticality Systems on Multiprocessors;;custom;;taskset generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Eberle A. Rambo;Rolf Ernst;;;;;;;;;;;;;;Replica-Aware Co-Scheduling for Mixed-Criticality;mibench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;FALSE;FALSE;
ECRTS;2017;Sandeep D’souza;Ragunathan Rajkumar;;;;;;;;;;;;;;Thermal Implications of Energy-Saving Schedulers;uunifast-discard;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Zhishan Guo;Ashikahmed Bhuiyan;Abusayeed Saifullah;Nan Guan;and Haoyi Xiong;;;;;;;;;;;Energy-Efficient Multi-Core Scheduling for Real-Time DAG Tasks;erdos-renyi;named;;dag generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;FALSE;FALSE;
ECRTS;2017;Monowar Hasan;Sibin Mohan;Rodolfo Pellizzoni;Rakesh B. Bobba;;;;;;;;;;;;Contego: An Adaptive Framework for Integrating Security Tasks in Real-Time Systems;uunifast;named;;taskset generator;no;;custom;uav;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Muhammad R. Soliman;Rodolfo Pellizzoni;;;;;;;;;;;;;;WCET-Driven Dynamic Data Scratchpad Management With Compiler-Directed Prefetching;utdsp;named;;benchmark;no;mediabench;named;;benchmark;no;chstone;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Tao Qian;Frank Mueller;Yufeng Xin;;;;;;;;;;;;;A Linux Real-Time Packet Scheduler for Reliable Static SDN Routing;sockperf;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Tobias Blass;Sobastian Hahn;Jan Reineke;;;;;;;;;;;;;Write-Back Caches in WCET Analysis;malardalen;named;;benchmark;no;scade;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Farzad Farshchi;Prathap Kumar Valsan;Renato Mancuso;Heechul Yun;;;;;;;;;;;;Deterministic Memory Abstraction and Supporting Multicore System Architecture;autobench;named;;benchmark;no;sdvbs;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Muhammad Ali Awan;Pedro F. Souto;Konstantinos Bletsas;Benny Akesson;Eduardo Tovar;;;;;;;;;;;Worst-case Stall Analysis for Multicore Architectures with Two Memory Controllers;uunifast-discard;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2018;Pedro Benedicte;Carles Hernandez;Jaume Abella;Francisco J. Cazorla;;;;;;;;;;;;HWP: Hardware Support to Reconcile Cache Energy, Complexity, Performance and WCET Estimates in Multcore Real-Time Systems;autobench;named;;benchmark;no;mediabench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Dominic Oehlert;selma Saidi;Heiko Falk;;;;;;;;;;;;;Compiler-based Extraction of Event Arrival functions for Real-Time Systems Analysis;malardalen;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Kunal Agrawal;Sanjoy Baruah;;;;;;;;;;;;;;A Measurment-Based Model for Parallel Real-Time Systems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Georg von der Bruggen;Nico Piatkowski;Kuan-Hsun Chen;Jian-Jia Chen;Katharina Morik;;;;;;;;;;;Efficiently Approximating the Probability of deadline Misses in Real-Time Systems;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Robert Davis;Iain Bate;Guillem Bernat;Ian Broster;Alan Burns;Antoine Colin;Stuart Hutchesson;Nigel Tracey;;;;;;;;Transferring Real-Time Systems Research Into Industrial Practice: Four Impact Case Studies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Jian-Jia Chen;Georg von der Bruggen;Niklas Ueter;;;;;;;;;;;;;Push Forward:Global Fixed-Priority Scheduling of Arbitrary-Deadline Sporadic Task Systems;uunifast-discard;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2018;Mitra Nasri;Geoffrey Nelissen;Bjorn Brandenburg;;;;;;;;;;;;;A Response-Time Analysis for Non-Preemptive Job Sets under Global Scheduling;uunifast;named;;taskset generator;no;randfixsum;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;paolo Pazzaglia;Luigi Pannocchi;Alessandro Biondi;Marco Di Natale;;;;;;;;;;;;Beyond the Weakly Hard Model: Measuring the Performance Cost of Deadline Misses;;referenced;controller;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2018;Kunal Agrawal;Sanjoy Baruah;;;;;;;;;;;;;;Intractability Issues in Mixed-Criticality Scheduling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Risat Mahmud Pathan;;;;;;;;;;;;;;;Improving the Schedulability and Quality of Service for Federated Scheduling of Parallel Mixed-Criticality Tasks on Multprocessors;;custom;;taskset generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Johannes Freitag;Sascha Uhrig;Theo Ungerer;;;;;;;;;;;;;Virtual Timing Isolation for Mixed-Criticality Systems;;custom;;microbenchmark;;taclebench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Alessandro Vittorio Papadopoulos;Enrico Bini;Sanjoy Baruah;Alan Burns;;;;;;;;;;;;AdaptMC: A Control-Theoretic Approach for Achieving Resilience in Mixed-Criticality Systems;;custom;misc;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2018;Leonie Ahrendts;Sophie Quinton;Thomas Boroske;Rolf Ernst;;;;;;;;;;;;Verifying Weakly_heard Real-Time Properties of Traffic Streams in Switched Networks;daimler;referenced;automotive;case study;unclear;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Arpan Gujarati;Mitra Nasri;Bjorn Brandenburg;;;;;;;;;;;;;Quantifying the Resiliency of Fail-Operational Real-Time Networked Control Systems;schedcat;named;;taskset generator;no;;custom;can;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Viktor Edpalm;Alexandre Martins;Karl-Erik Arzen;Martina Maggio;;;;;;;;;;;;Camera Networks Dimensioning and Scheduling with Quasi Worts-Case Transmission Time;;custom;misc;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Tjerk Bijlsma;Alexander Lint;Jacques Verriet;;;;;;;;;;;;;Early Design Phase Cross-Platform Throughput Prediction for Industrial Stream-Processing Applications;;custom;image processing;case study;;passmark;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Waqar Ali;heechul Yun;;;;;;;;;;;;;;Protecting Real-Time GPU Kernels on Integrated CPU-GPU SoC Platforms;parboil;named;;benchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2018;Ming Yang;Nathan Otterness;Tanya Amert;Joshua Bakita;James H. Anderson;F. Donelson Smith;;;;;;;;;;Avoiding Pitfalls when Using NVIDIA GPUs for Real-Time Tasks in Autonomous Systems;nvidia visionworks;named;gpu;software;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Joachim Fellmuth;Thomas Gothel;Sabine Glesner;;;;;;;;;;;;;Instruction Caches in Static WCET Analysis of Artificially Diversified Software;malardalen;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Krisit Kruger;Marcus Volp;Gerhard Fohler;;;;;;;;;;;;;Vulnerability Analysis and Mitigation of Directed Timing Inference Based Attacks on Time-Triggered Systems;rosace;named;avionics;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Anand Bhat;Soheil Samii;Ragunathan Rajkumar;;;;;;;;;;;;;Recovery Time Considerations in Real-Time Systems Employing Software Fault Tolerance;randfixsum;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2018;Peter Wagemann;Christian Dietrich;Tobias Distler;Peter Ulbrich;Wolfgang Schroder-Preikschat;;;;;;;;;;;Whole-System Worst-Case Energy-Consumption Analysis for Energy-Constrained Real-Time Systems;;custom;;microbenchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2018;Catherine E. Nemitz;Tanya Amert;James H. Anderson;;;;;;;;;;;;;Using Lock Servers to Scale Real-Time Locking Protocols: Chasing Ever-Increasing Core Counts;;custom;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2018;Felipe Cerqueira;Geoffrey Nelissen;Bjorn Brandenburg;;;;;;;;;;;;;On Strong and Weak Sustainability, with an Application to Self-Suspending Real-Time Tasks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Paolo Pazzaglia;Claudio Mandrioli;Martina Maggio;Anton Cervin;;;;;;;;;;;;DMAC: Deadline-Miss-Aware Control;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2019;Robert J. Walls;Nicholas F. Brown;Thomas Le Baron;Craig A. Shue;Hamed Okhravi;Bryan Ward;;;;;;;;;;Control-Flow Integrity for Real-Time Embedded Systems;;custom;security;case study;;coremark;named;;benchmark;no;beebs;named;;benchmark;no;;custom;;microbenchmark;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Sims Hill Osborne;Joshua Bakita;James H. Anderson;;;;;;;;;;;;;Simultaneous Multithreading Applied to Real Time;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2019;Muhammad R. Soliman;Rodolfo Pellizzoni;;;;;;;;;;;;;;PREM-Based Optimal Task Segmentation Under Fixed Priority Scheduling;utdsp;named;;benchmark;no;taclebench;named;;benchmark;no;cortexsuite;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Marcello Cinque;Raffaele Della Corte;Antonio Eliso;Antonio Pecchia;;;;;;;;;;;;RT-CASEs: Container-Based Virtualization for Temporally Separated Mixed-Criticality Task Sets;uunifast;named;;taskset generator;no;randfixsum;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Daniel Casini;Tobias Blass;Ingo Lutkebohle;Bjorn Brandenburg;;;;;;;;;;;;Response-Time Analysis of ROS 2 Processing Chains Under Reservation-Based Scheduling;;custom;ros2;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2019;Juan M. Rivas;Joel Goossens;Xavier Poczekajlo;Antonia Polillo;;;;;;;;;;;;Implementation of Memory Centric Scheduling for COTS Multi-Core Real-Time Systems;;custom;misc;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Stephen Law;Iain Bate;Benjamin Lesage;;;;;;;;;;;;;Industrial Application of a Partitioning Scheduler to Support Mixed Criticality Systems;rolls-royce engine;;;specification;no;aircraft engine;referenced;avionics;specification;no;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Arpan Gujarati;Mitra Nasri;Rupak Majumdar;Bjorn Brandenburg;;;;;;;;;;;;"From Iteration to System Failure: Characterizing
the FITness of Periodic Weakly-Hard Systems";prism;named;;model checker;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Victor Millnert;Johan Eker;Enrico Bini;;;;;;;;;;;;;End-To-End Deadlines over Dynamic Topologies;;custom;networking;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Tae Gong;Tianyu Zhang;Xiaobo Sharon Hu;Quingxu Deng;Michael Lemmon;Song Han;;;;;;;;;;Reliable Dynamic Packet scheduling over Lossy Real-Time Wireless Networks;;custom ;networking;case study;;;custom;;taskset generator;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Behnaz Pourmohseni;Fedor Smirnov;Stefan Wildermann;Jurgen Teich;;;;;;;;;;;;Isolation-Aware Timing Analysis and design Space Exploration for Predictable and Composable Many-Core Systems;e3s;named;;benchmark;no;opendse;named;;software;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Stephen Tang;Sergey Voronov;James H. Anderson;;;;;;;;;;;;;GEDF Tardiness: Open Problems Involving Uniform Multiprocessors and Affinity Masks Resolved;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Pontus Ekberg;;;;;;;;;;;;;;;Dual Priority Scheduling is Not Optimal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2019;Corey Tessler;Nathan Fisher;;;;;;;;;;;;;;NPM_BUNDLE: Non-Preemptive Multitask Scheduling for Jobs with BUNDLE-Based Thread-Level Scheduling;uunifast;named;;taskset generator;no;malardalen;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2019;Jian-Jia Chen;Tobias Hahn;Ruben Hoeksma;Nicole Megow;Georg von der Bruggen;;;;;;;;;;;Scheduling Self-Suspending Tasks: New and Old Results;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2019;Renato Mancuso;Heechul Yun;Isabelle Puaut;;;;;;;;;;;;;Impact of DM-LRU on WCET: A Static Analysis Approach;malardalen;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Nathanael Sensfelder;Julien Brunnel;Claire Pagetti;;;;;;;;;;;;;Modeling Cache Coherence to Expose Interference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2019;Farouk Hebbache;Florian Brandner;Mathieu Jan;Laurent Pautet;;;;;;;;;;;;Arbitration-Induced Preemption Delays;uunifast;named;;taskset generator;no;mibench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Bo Peng;Nathan Fisher;Thidapat Chantem;;;;;;;;;;;;;Fast and Effective Multiframe-Task Parameter Assignment Via Concave Approximations of Demand;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Mitra Nasri;Geoffrey Nelissen;Bjorn Brandenburg;;;;;;;;;;;;;Response-Time Analysis of Limited-Preemptive Parallel DAG Tasks Under Global Scheduling;;custom;;dag generator;;uunifast;named;;taskset generator;no;randfixsum;named;;taskset generator;no;streamit;named;;benchmark;no;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Roberto Cavicchioli;Nicola Capodieci;Marco Solieri;Marko Bertogna;;;;;;;;;;;;Novel Methodologies for Predictable CPU-To-GPU Command Offloading;;custom;neural network;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2019;Roger Pujol;Hamid Tabani;Leonidas Kosmidis;Enrico Mezzetti;Jaume Abella;Francisco J. Cazorla;;;;;;;;;;Generating and Exploiting Deep Learning Variants to Increase Heterogeneous Resource Utilization in the NVIDIA Xavier;;custom;neural network;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Marco Pagani;Enrico Rossi;Alessandro Biondi;Mauro Marinoni;Giuseppe Lipari;giorgio Buttazzo;;;;;;;;;;"A Bandwidth Reservation Mechanism for
AXI-Based Hardware Accelerators on FPGAs";;custom;;microbenchmark;;;custom;hardware accelerator;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Benjamin Rouxel;Stefanos Skalistis;Steven Derrien;Isabelle Puaut;;;;;;;;;;;;Hiding Communication Delays in Contention-Free Execution for SPM-Based Multi-Core Architectures;tgff;named;;dag generator;no;str2rts;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Borislav Nikolic;Robin Hofmann;Rolf Ernst;;;;;;;;;;;;;"Slot-Based Transmission Protocol for Real-Time
NoCs – SBT-NoC";;custom;network-on-chip;case study;;;referenced;autonomous vehicle;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2019;Giovani Gracioli;Rohan Tabish;Renato Mancuso;Reza Mirosanlou;Rodolfo Pellizzoni;Marco Caccamo;;;;;;;;;;"Designing Mixed Criticality Applications on
Modern Heterogeneous MPSoC Platforms";;custom;;microbenchmark;;sdvbs;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Gero Schwaricke;Tomasz Kloda;Giovani Gracioli;Marko Bertogna;Marco Caccamo;;;;;;;;;;;Fixed-Priority Memory-Centric Scheduler for COTS-Based Multiprocessors;;custom;;microbenchmark;;taclebench;named;;benchmark;no;randfixsum;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Abusayeed Saifullah;Sezena Fahmida;Venkata Modekurthy;Nathan Fisher;Zhishan Gue;;;;;;;;;;;CPU Energy-Awarae Parallel Real-Time Scheduling;erdos-renyi;named;;dag generator;no;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Soham Sinha;Richard West;Ahmad Golchin;;;;;;;;;;;;;PAStime: Progress-Aware Scheduling for Time-Critical Computing;;custom;autonomous vehicle;case study;;uunifast;named;;taskset generator;no;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Stefanos Skalistis;Angeliki Kritikakou;;;;;;;;;;;;;;Dynamic Interference-Sensitive Run-time Adaptation of Time-Triggered Schedules;streamit;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Filip Markovic;Jan Carlson;Sebastian Altmeyer;Radu Dobrin;;;;;;;;;;;;Improving the Accuracy of Cache-Aware Response Time Analysis Using Preemption Partitioning;malardalen;named;;benchmark;no;taclebench;named;;benchmark;no;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;James Robb;Bjorn Brandenburg;;;;;;;;;;;;;;Nested, but Separate: Isolating Unrelated Critical Sections in Real-time Nested Locking;randfixsum;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Kunal Agrawal;Sanjoy Baruah;Alan Burns;;;;;;;;;;;;;The Safe and effective Use of Learning-Enabled Components in Safety-Critical Systems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
